,ETH-USD+,cash,value
2013-01-01,0.720115090216,0.279884909784,138.304572708
2013-01-02,0.709455012429,0.290544987571,138.151940726
2013-01-03,0.741765747409,0.258234252591,139.029180417
2013-01-04,0.75997499336,0.24002500664,139.794117577
2013-01-07,0.792288052767,0.207711947233,140.493688406
2013-01-08,0.825424193923,0.174575806077,141.713486965
2013-01-09,0.837684004457,0.162315995543,141.965502398
2013-01-10,0.846736504522,0.153263495478,145.159387819
2013-01-11,0.845374250251,0.154625749749,145.158992331
2013-01-14,0.847271730736,0.152728269264,146.54742323
2013-01-15,0.824570651246,0.175429348754,146.106757601
2013-01-16,0.846024956692,0.153975043308,150.15999057
2013-01-17,0.850453888361,0.149546111639,156.800238435
2013-01-18,0.850737710202,0.149262289798,158.520481262
2013-01-21,0.853333052465,0.146666947535,167.967377848
2013-01-22,0.852860789667,0.147139210333,171.890672858
2013-01-23,0.850781240927,0.149218759073,173.92781908
2013-01-24,0.722777777778,0.277222222222,168.811439632
2013-01-25,0.825357372749,0.174642627251,172.388622697
2013-01-28,0.875792177547,0.124207822453,183.168597358
2013-01-29,0.868738109431,0.131261890569,190.105516587
2013-01-30,0.866184200979,0.133815799021,191.541745128
2013-01-31,0.867293396323,0.132706603677,197.520122542
2013-02-01,0.865782799472,0.134217200528,198.27472591
2013-02-04,0.855512968814,0.144487031186,197.684645408
2013-02-05,0.868626948709,0.131373051291,199.087142958
2013-02-06,0.866486118048,0.133513881952,203.954013876
2013-02-07,0.871404667886,0.128595332114,212.047502482
2013-02-08,0.866630026779,0.133369973221,216.298914299
2013-02-11,0.874044835758,0.125955164242,232.759990078
2013-02-12,0.878687707817,0.121312292183,237.050581432
2013-02-13,0.730277777778,0.269722222222,228.955044042
2013-02-14,0.887777777778,0.112222222222,249.758776194
2013-02-15,0.875865262839,0.124134737161,248.775550928
2013-02-18,0.851504682042,0.148495317958,247.557684624
2013-02-19,0.889395350608,0.110604649392,266.863994204
2013-02-20,0.884150124636,0.115849875364,268.7163257
2013-02-21,0.883347762261,0.116652237739,269.517009789
2013-02-22,0.885247547008,0.114752452992,273.518203882
2013-02-25,0.885016232403,0.114983767597,274.718454162
2013-02-26,0.888519517759,0.111480482241,280.316185929
2013-02-27,0.871893984453,0.128106015547,278.705511091
2013-02-28,0.889191261707,0.110808738293,298.203593112
2013-03-01,0.890458601006,0.109541398994,307.099347454
2013-03-04,0.89259986742,0.10740013258,320.176416358
2013-03-05,0.897403829304,0.102596170696,353.218694352
2013-03-06,0.895542286841,0.104457713159,358.639427968
2013-03-07,0.895354566756,0.104645433244,366.310889093
2013-03-08,0.896112170923,0.103887829077,383.331666079
2013-03-11,0.89945472825,0.10054527175,416.139292659
2013-03-12,0.628333333333,0.371666666667,384.136122944
2013-03-13,0.759398343777,0.240601656223,398.378294441
2013-03-14,0.769129508742,0.230870491258,399.983247916
2013-03-15,0.759099325899,0.240900674101,398.541086324
2013-03-18,0.894444444444,0.105555555556,428.409872005
2013-03-19,0.902505432433,0.0974945675673,484.399430506
2013-03-20,0.905026754133,0.0949732458673,523.942863169
2013-03-21,0.906509922226,0.0934900777736,570.700095382
2013-03-22,0.878888888889,0.121111111111,563.514019417
2013-03-25,0.895191482162,0.104808517838,589.941442733
2013-03-26,0.898453860815,0.101546139185,625.09788596
2013-03-27,0.904052199446,0.0959478005538,699.640352067
2013-03-28,0.825,0.175,680.043254664
2013-03-29,0.9,0.1,708.074095213
2013-04-01,0.913593100305,0.0864068996954,901.566712275
2013-04-02,0.91511297556,0.0848870244396,1020.37464965
2013-04-03,0.871944444444,0.128055555556,1000.36979578
2013-04-04,0.922669700005,0.0773302999946,1067.62577049
2013-04-05,0.916991796929,0.0830082030713,1069.75896241
2013-04-08,0.928629384414,0.0713706155855,1670.62080469
2013-04-09,0.193333333333,0.806666666667,1229.81323651
2013-04-10,0.0411111111111,0.958888888889,1171.75281954
2013-04-11,0.0298164335206,0.970183566479,1168.68529647
2013-04-12,0.0238460892776,0.976153910722,1161.5373934
2013-04-15,0.0176396037287,0.982360396271,1154.19887988
2013-04-16,0.0461851629992,0.953814837001,1161.50671443
2013-04-17,0.140118723668,0.859881276332,1170.49351111
2013-04-18,0.18781386953,0.81218613047,1184.65390006
2013-04-19,0.228962111713,0.771037888287,1199.86708471
2013-04-22,0.323748325142,0.676251674858,1236.27504914
2013-04-23,0.418429681675,0.581570318325,1265.98421558
2013-04-24,0.323445313104,0.676554686896,1222.88834129
2013-04-25,0.315935246179,0.684064753821,1209.46275075
2013-04-26,0.229170027816,0.770829972184,1184.44612578
2013-04-29,0.323008788952,0.676991211048,1208.07439314
2013-04-30,0.136367560701,0.863632439299,1143.67352028
2013-05-01,0.0901307348822,0.909869265118,1130.01635651
2013-05-02,0.0837965077601,0.91620349224,1122.20392148
2013-05-03,0.130721220931,0.869278779069,1136.31127402
2013-05-06,0.127379216423,0.872620783577,1131.96951508
2013-05-07,0.130765760901,0.869234239099,1136.70509734
2013-05-08,0.132786324081,0.867213675919,1136.17436099
2013-05-09,0.143043077947,0.856956922053,1142.71602878
2013-05-10,0.148013865447,0.851986134553,1139.83890002
2013-05-13,0.1401617118,0.8598382882,1133.64569136
2013-05-14,0.143037493979,0.856962506021,1137.66758231
2013-05-15,0.189185547836,0.810814452164,1143.25682058
2013-05-16,0.210889964891,0.789110035109,1152.90181981
2013-05-17,0.193319409162,0.806680590838,1152.29127979
2013-05-20,0.210667287252,0.789332712748,1151.67181515
2013-05-21,0.196367319501,0.803632680499,1153.43265058
2013-05-22,0.242232445201,0.757767554799,1157.90800654
2013-05-23,0.27543210812,0.72456789188,1172.95493677
